job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/store-co-manager-at-the-home-depot-3785893994,2024-01-19 09:45:09.215838+00,t,t,f,Store Co- Manager,The Home Depot,"Cherry Hill, NJ",2024-01-13,Winslow,United States,Manager Sales,Mid senior,Onsite
https://www.linkedin.com/jobs/view/internal-medicine-physician-lansing-at-uchicago-medicine-3618541623,2024-01-19 09:45:09.215838+00,t,t,f,"Internal Medicine Physician, Lansing",UChicago Medicine,"Lansing, IL",2024-01-13,Hobart,United States,Family Practitioner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/6g5di3-structural-analysis-engineer-3-at-experis-3805598583,2024-01-21 04:56:32.152126+00,t,t,f,6G5DI3-Structural Analysis Engineer 3,Experis,"Tukwila, WA",2024-01-14,Puyallup,United States,Stress Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/lead-salesforce-solution-architect-at-cgi-3805298695,2024-01-19 16:36:00.192623+00,t,t,f,Lead Salesforce Solution Architect,CGI,"Richmond, VA",2024-01-15,Montpelier,United States,Custom Tailor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/volunteer-home-rehabilitation-staff-at-volunteermatch-3803959883,2024-01-19 09:45:09.215838+00,t,t,f,Volunteer: Home Rehabilitation Staff,VolunteerMatch,"Linwood, KS",2024-01-13,Leavenworth,United States,Coordinator Of Rehabilitation Services,Associate,Onsite
https://www.linkedin.com/jobs/view/assistant-athletic-trainer-part-time-at-middlesex-school-3794054709,2024-01-20 09:57:56.723143+00,t,t,f,Assistant Athletic Trainer - Part-Time,Middlesex School,"Concord, MA",2024-01-14,Braintree,United States,Rehabilitation Clerk,Associate,Onsite
https://www.linkedin.com/jobs/view/supervisor-clinical-scheduling-and-staffing-nursing-administration-at-commonwealth-of-massachusetts-3788286706,2024-01-19 09:45:09.215838+00,t,t,f,Supervisor Clinical Scheduling and Staffing (Nursing Administration),Commonwealth of Massachusetts,"Boston, MA",2024-01-13,Ipswich,United States,Dye-House Supervisor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-nurse-rn-or-operating-room-at-triage-consulting-group-3804336592,2024-01-20 08:30:22.798317+00,t,t,f,Travel Nurse - RN - OR - Operating Room,Triage Consulting Group,"Manitowoc, WI",2024-01-14,Pine Bluff,United States,Christian Science Nurse,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/international-aftersales-qc-executive-at-pineapple-furniture-3790827293,2024-01-19 09:45:09.215838+00,t,t,f,International Aftersales & QC Executive,Pineapple Furniture,"Aylesford, England, United Kingdom",2024-01-13,Medway Towns,United Kingdom,Extra,Mid senior,Onsite
https://www.linkedin.com/jobs/view/area-clinical-consultant-mid-michigan-at-abiomed-3801920590,2024-01-19 09:45:09.215838+00,t,t,f,Area Clinical Consultant - Mid Michigan,Abiomed,"Michigan, United States",2024-01-13,Traverse City,United States,Consultant Education,Mid senior,Onsite
https://www.linkedin.com/jobs/view/cosmetologists-castroville-at-fantastic-sams-franchise-corp-3787762287,2024-01-19 09:45:09.215838+00,t,t,f,Cosmetologists Castroville,Fantastic Sams Franchise Corp,"San Antonio, TX",2024-01-13,San Antonio,United States,Manicurist,Mid senior,Onsite
